tolerance,attack_type,scenario_family,normal_false_rejection_rate,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
1.06,sensor_drift,temporal_persistence,0.0,36000,2368,32932,0,700,1.0,0.771838331160365,0.8712288447387785,0.22816166883963493,0.0
1.06,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.06,replay_attack,temporal_persistence,0.0,36000,701,33840,0,1459,1.0,0.324537037037037,0.49003844809507163,0.6754629629629629,0.0
1.06,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.06,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.06,intermittent_burst,temporal_persistence,0.0,36000,380,35564,0,56,1.0,0.8715596330275229,0.9313725490196079,0.12844036697247707,0.0
1.065,dataset_fdia,original_dataset,0.0,36000,1550,34200,0,250,1.0,0.8611111111111112,0.9253731343283582,0.1388888888888889,0.0
1.065,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.065,above_bound,physics_impossible,0.0,36000,1709,34200,0,91,1.0,0.9494444444444444,0.9740666856654316,0.050555555555555555,0.0
1.065,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.065,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.065,sensor_drift,temporal_persistence,0.0,36000,2341,32932,0,727,1.0,0.7630378096479792,0.8655943797374747,0.23696219035202087,0.0
1.065,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.065,replay_attack,temporal_persistence,0.0,36000,694,33840,0,1466,1.0,0.3212962962962963,0.4863349684653119,0.6787037037037037,0.0
1.065,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.065,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.065,intermittent_burst,temporal_persistence,0.0,36000,378,35564,0,58,1.0,0.8669724770642202,0.9287469287469288,0.13302752293577982,0.0
1.07,dataset_fdia,original_dataset,0.0,36000,1550,34200,0,250,1.0,0.8611111111111112,0.9253731343283582,0.1388888888888889,0.0
1.07,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.07,above_bound,physics_impossible,0.0,36000,1706,34200,0,94,1.0,0.9477777777777778,0.9731888191671421,0.052222222222222225,0.0
1.07,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.07,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.07,sensor_drift,temporal_persistence,0.0,36000,2325,32932,0,743,1.0,0.7578226857887875,0.862228815130725,0.24217731421121252,0.0
1.07,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.07,replay_attack,temporal_persistence,0.0,36000,689,33840,0,1471,1.0,0.3189814814814815,0.48367848367848365,0.6810185185185185,0.0
1.07,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.07,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.07,intermittent_burst,temporal_persistence,0.0,36000,374,35564,0,62,1.0,0.8577981651376146,0.9234567901234568,0.14220183486238533,0.0
1.075,dataset_fdia,original_dataset,0.0,36000,1550,34200,0,250,1.0,0.8611111111111112,0.9253731343283582,0.1388888888888889,0.0
1.075,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.075,above_bound,physics_impossible,0.0,36000,1704,34200,0,96,1.0,0.9466666666666667,0.9726027397260273,0.05333333333333334,0.0
1.075,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.075,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.075,sensor_drift,temporal_persistence,0.0,36000,2292,32932,0,776,1.0,0.7470664928292047,0.8552238805970148,0.2529335071707953,0.0
1.075,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.075,replay_attack,temporal_persistence,0.0,36000,683,33840,0,1477,1.0,0.3162037037037037,0.48047836792120996,0.6837962962962963,0.0
1.075,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.075,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.075,intermittent_burst,temporal_persistence,0.0,36000,371,35564,0,65,1.0,0.8509174311926605,0.9194547707558859,0.14908256880733944,0.0
1.08,dataset_fdia,original_dataset,0.0,36000,1550,34200,0,250,1.0,0.8611111111111112,0.9253731343283582,0.1388888888888889,0.0
1.08,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.08,above_bound,physics_impossible,0.0,36000,1701,34200,0,99,1.0,0.945,0.9717223650385605,0.055,0.0
1.08,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.08,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.08,sensor_drift,temporal_persistence,0.0,36000,2265,32932,0,803,1.0,0.7382659713168188,0.8494280892555786,0.26173402868318124,0.0
1.08,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.08,replay_attack,temporal_persistence,0.0,36000,677,33840,0,1483,1.0,0.31342592592592594,0.4772647162495594,0.6865740740740741,0.0
1.08,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.08,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.08,intermittent_burst,temporal_persistence,0.0,36000,360,35564,0,76,1.0,0.8256880733944955,0.9045226130653267,0.1743119266055046,0.0
